,Accuracy,Sensitivity,Specificity,F1,G-mean
0,0.9411111111,0.6166666667,0.9771604938,0.6758241758,0.7756505393
1,0.8166666667,0.2277777778,0.8820987654,0.198254228,0.4470016523
2,0.8622222222,0.044444444400000005,0.9530864198000001,0.060791826300000004,0.2049801154
3,0.5366666667000001,0.27222222220000003,0.5660493827,0.1049272016,0.38894980370000004
4,0.8038888889,0.0777777778,0.8845679012000001,0.0735818875,0.26197493310000003
5,0.6777777778,0.1,0.7419753086,0.057686644700000005,0.2652369824
6,0.5622222222000001,0.2944444444,0.5919753086,0.11795829440000001,0.4132749254
7,0.7883333333,0.2666666667,0.8462962963,0.20088854550000002,0.4745044847
8,0.7727777778,0.3277777778,0.8222222222000001,0.22398268400000002,0.5183360098
9,0.9405555556,0.6166666667,0.9765432099,0.6738095238,0.7754191674
10,0.8166666667,0.2277777778,0.8820987654,0.198254228,0.4470016523
11,0.8255555556,0.1555555556,0.9,0.1510178459,0.3736113341
12,0.54,0.27222222220000003,0.5697530864,0.10560566830000001,0.39021886370000003
13,0.8038888889,0.0777777778,0.8845679012000001,0.0735818875,0.26197493310000003
14,0.6788888889,0.1111111111,0.7419753086,0.0641559483,0.2827889512
15,0.5622222222000001,0.2944444444,0.5919753086,0.11795829440000001,0.4132749254
16,0.7944444444000001,0.25,0.8549382716,0.1952384898,0.46169998300000004
17,0.7738888889000001,0.3388888889,0.8222222222000001,0.23074522460000002,0.5273885649
18,0.9261111111,0.6166666667,0.9604938272,0.62459909,0.7689207768
19,0.8188888889,0.2166666667,0.8858024691,0.19494949490000002,0.43180586930000003
20,0.8150000000000001,0.15,0.8888888889000001,0.1396030534,0.3651467901
21,0.5433333333,0.2777777778,0.5728395062,0.1079729579,0.3944723141
22,0.8005555556,0.1,0.8783950617,0.09084727320000001,0.2940614
23,0.6405555556,0.12222222220000001,0.6981481481,0.06380233290000001,0.29202525560000003
24,0.5577777778,0.2944444444,0.587037037,0.1168265039,0.4114589172
25,0.7888888889,0.2666666667,0.8469135802000001,0.2013214147,0.4746893621
26,0.7705555556,0.3388888889,0.8185185185,0.2279413303,0.525152452
27,0.9433333333,0.5166666667,0.9907407407000001,0.6427272727000001,0.7136198268
28,0.8494444444,0.1611111111,0.9259259259,0.1766439337,0.3858398583
29,0.8116666667,0.1555555556,0.8845679012000001,0.1413996493,0.3703425219
30,0.5555555556,0.2944444444,0.5845679012,0.1166884532,0.4109398725
31,0.8366666667,0.061111111100000004,0.9228395062,0.0696615753,0.2369753718
32,0.6333333333,0.1333333333,0.6888888889,0.06812865500000001,0.3021791773
33,0.5466666667,0.3555555556,0.5679012346,0.1355317262,0.44819869910000004
34,0.7788888889000001,0.3166666667,0.8302469136,0.2227633478,0.5127444373
35,0.7594444444,0.36666666670000003,0.8030864198000001,0.23385490750000001,0.5424416792
36,0.9072222222,0.6055555556000001,0.9407407407,0.5646978781,0.7535327779000001
37,0.795,0.2388888889,0.8567901235000001,0.18880237300000002,0.4520971801
38,0.8594444444,0.044444444400000005,0.9500000000000001,0.059595834900000005,0.20463953780000002
