Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy,Type
0.9092,0.3722,0.9374,0.2937,0.5906,0.8333,0.6548,SVC
0.5361,0.5667,0.5345,0.1089,0.5503,0.1667,0.5506,SVC
0.8053,0.4333,0.8249,0.1821,0.5979,0.8333,0.6291,SVC
0.6978,0.2833,0.7196,0.0862,0.4503,0.0,0.5015,SVC
0.6675,0.4889,0.6769,0.1284,0.5751,1.0,0.5829,SVC
0.4975,0.5056,0.4971,0.0914,0.5013,0.8333,0.5013,SVC
0.7206,0.2056,0.7477,0.0685,0.3919,0.3333,0.4766,SVC
0.9475,0.8,0.9609,0.7173,0.8766,0.5,0.8805,SVC
0.4158,0.6633,0.3933,0.1591,0.5108,1.0,0.5283,SVC
0.8664,0.1333,0.933,0.1422,0.3512,0.0,0.5332,SVC
0.34,0.8333,0.2952,0.1739,0.4956,0.8333,0.5642,SVC
0.8294,0.2133,0.8855,0.1727,0.4346,0.5,0.5494,SVC
0.6197,0.4267,0.6373,0.1574,0.521,0.5,0.532,SVC
0.4233,0.33,0.4318,0.0871,0.3775,0.1667,0.3809,SVC
0.8472,0.3767,0.89,0.2911,0.5784,0.0,0.6333,SVC
0.1672,0.5367,0.1336,0.0969,0.2675,0.5,0.3352,SVC
0.9719,0.8929,0.9824,0.8816,0.9366,0.5,0.9376,SVC
0.5333,0.3333,0.5597,0.1428,0.4317,0.1667,0.4465,SVC
0.6342,0.4548,0.6579,0.2246,0.546,0.1667,0.5563,SVC
0.3342,0.6143,0.2972,0.1772,0.4272,1.0,0.4557,SVC
0.5328,0.5452,0.5311,0.214,0.5379,0.6667,0.5382,SVC
0.6314,0.3429,0.6695,0.1783,0.479,0.1667,0.5062,SVC
0.7297,0.2548,0.7925,0.1805,0.4488,0.6667,0.5236,SVC
0.6747,0.2095,0.7362,0.1306,0.3925,0.0,0.4728,SVC
0.63,0.3405,0.6682,0.1766,0.4763,0.0,0.5044,SVC
0.9592,0.7333,0.9711,0.6434,0.8433,0.5,0.8522,SVC
0.8256,0.1278,0.8623,0.069,0.3319,0.0,0.495,SVC
0.8425,0.0778,0.8827,0.0472,0.2617,0.3333,0.4803,SVC
0.5133,0.4056,0.519,0.0767,0.4571,1.0,0.4623,SVC
0.8561,0.1389,0.8939,0.0878,0.3502,0.0,0.5164,SVC
0.7275,0.1833,0.7561,0.0634,0.3691,0.1667,0.4697,SVC
0.3536,0.4056,0.3509,0.059,0.3772,0.5,0.3782,SVC
0.89,0.3056,0.9208,0.2168,0.5292,0.1667,0.6132,SVC
0.7869,0.15,0.8205,0.0654,0.3494,0.3333,0.4852,SVC
0.9714,0.8133,0.9858,0.8257,0.8954,0.5,0.8995,SVC
0.8522,0.27,0.9052,0.2352,0.4938,0.3333,0.5876,SVC
0.8719,0.1733,0.9355,0.1831,0.4,0.0,0.5544,SVC
0.5917,0.5533,0.5952,0.1835,0.572,0.8333,0.5742,SVC
