Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy,Type
0.8411,0.7976,0.8543,0.7008,0.8255,0.1667,0.826,ExtraTreeClassifier
0.6711,0.2714,0.7928,0.2781,0.4638,0.8333,0.5321,ExtraTreeClassifier
0.6261,0.1071,0.7841,0.1175,0.2885,0.5,0.4456,ExtraTreeClassifier
0.3917,0.2238,0.4428,0.1463,0.3142,0.3333,0.3333,ExtraTreeClassifier
0.5167,0.0976,0.6442,0.0867,0.2493,0.5,0.3709,ExtraTreeClassifier
0.5994,0.2619,0.7022,0.2336,0.4286,0.5,0.482,ExtraTreeClassifier
0.4233,0.3762,0.4377,0.2333,0.4054,0.6667,0.4069,ExtraTreeClassifier
0.4956,0.3929,0.5268,0.2665,0.4548,0.0,0.4598,ExtraTreeClassifier
0.5372,0.3405,0.5971,0.255,0.4498,0.1667,0.4688,ExtraTreeClassifier
0.8894,0.3722,0.9469,0.4022,0.5935,0.0,0.6596,ExtraTreeClassifier
0.7011,0.0944,0.7685,0.0595,0.2643,0.1667,0.4315,ExtraTreeClassifier
0.7394,0.1111,0.8093,0.0787,0.2992,0.0,0.4602,ExtraTreeClassifier
0.7722,0.3556,0.8185,0.2373,0.5385,0.0,0.587,ExtraTreeClassifier
0.7606,0.4278,0.7975,0.2607,0.5768,0.0,0.6127,ExtraTreeClassifier
0.7067,0.2222,0.7605,0.1317,0.4111,0.1667,0.4914,ExtraTreeClassifier
0.6844,0.1833,0.7401,0.1039,0.3676,0.3333,0.4617,ExtraTreeClassifier
0.6728,0.2278,0.7222,0.1222,0.4055,0.1667,0.475,ExtraTreeClassifier
0.5594,0.4056,0.5765,0.1553,0.4828,0.6667,0.491,ExtraTreeClassifier
0.8533,0.49,0.926,0.5269,0.6734,0.3333,0.708,ExtraTreeClassifier
0.7372,0.3267,0.8193,0.2931,0.5173,0.6667,0.573,ExtraTreeClassifier
0.6944,0.2467,0.784,0.212,0.4396,0.1667,0.5153,ExtraTreeClassifier
0.6372,0.4667,0.6713,0.3001,0.5597,0.5,0.569,ExtraTreeClassifier
0.4711,0.2967,0.506,0.1575,0.3863,0.0,0.4013,ExtraTreeClassifier
0.6472,0.42,0.6927,0.2841,0.5388,0.5,0.5563,ExtraTreeClassifier
0.6283,0.4267,0.6687,0.2761,0.5331,0.0,0.5477,ExtraTreeClassifier
0.4933,0.4967,0.4927,0.2463,0.4947,0.5,0.4947,ExtraTreeClassifier
0.5178,0.3133,0.5587,0.1778,0.4178,0.3333,0.436,ExtraTreeClassifier
0.8278,0.6548,0.8804,0.639,0.7589,0.8333,0.7676,ExtraTreeClassifier
0.4511,0.4929,0.4384,0.2954,0.4648,0.1667,0.4656,ExtraTreeClassifier
0.5989,0.4262,0.6514,0.3315,0.5269,0.1667,0.5388,ExtraTreeClassifier
0.5222,0.3762,0.5667,0.2684,0.4608,0.1667,0.4714,ExtraTreeClassifier
0.6611,0.3262,0.763,0.3092,0.498,0.5,0.5446,ExtraTreeClassifier
0.4317,0.5333,0.4007,0.3046,0.4623,0.5,0.467,ExtraTreeClassifier
0.4772,0.5381,0.4587,0.3246,0.4968,0.8333,0.4984,ExtraTreeClassifier
0.4917,0.5714,0.4674,0.3436,0.5162,0.3333,0.5194,ExtraTreeClassifier
0.5672,0.4238,0.6109,0.3134,0.5085,0.8333,0.5173,ExtraTreeClassifier
0.8756,0.3667,0.9321,0.3724,0.5844,0.1667,0.6494,ExtraTreeClassifier
0.7472,0.2111,0.8068,0.145,0.4126,0.3333,0.509,ExtraTreeClassifier
0.815,0.1556,0.8883,0.1436,0.3711,0.0,0.5219,ExtraTreeClassifier
0.6956,0.2056,0.75,0.1193,0.3917,0.0,0.4778,ExtraTreeClassifier
0.7306,0.2222,0.787,0.1414,0.4178,0.5,0.5046,ExtraTreeClassifier
0.6589,0.1333,0.7173,0.0728,0.3083,0.0,0.4253,ExtraTreeClassifier
0.5472,0.5778,0.5438,0.2043,0.5605,0.6667,0.5608,ExtraTreeClassifier
0.5856,0.2833,0.6191,0.1205,0.4188,0.0,0.4512,ExtraTreeClassifier
0.7528,0.2056,0.8136,0.1424,0.4086,0.5,0.5096,ExtraTreeClassifier
0.8267,0.53,0.886,0.5052,0.6852,0.0,0.708,ExtraTreeClassifier
0.605,0.32,0.662,0.2123,0.4585,0.3333,0.491,ExtraTreeClassifier
0.7383,0.2333,0.8393,0.2297,0.4425,0.1667,0.5363,ExtraTreeClassifier
0.6628,0.3333,0.7287,0.248,0.4927,0.3333,0.531,ExtraTreeClassifier
0.5883,0.2667,0.6527,0.1769,0.4143,0.0,0.4597,ExtraTreeClassifier
0.545,0.3467,0.5847,0.2016,0.448,0.1667,0.4657,ExtraTreeClassifier
0.6483,0.4433,0.6893,0.2955,0.5519,0.5,0.5663,ExtraTreeClassifier
0.435,0.5033,0.4213,0.2289,0.4605,1.0,0.4623,ExtraTreeClassifier
0.6039,0.22,0.6807,0.1561,0.3867,0.1667,0.4503,ExtraTreeClassifier
0.805,0.5952,0.8688,0.5875,0.719,0.1667,0.732,ExtraTreeClassifier
0.6244,0.1881,0.7572,0.1892,0.3769,0.0,0.4727,ExtraTreeClassifier
0.6194,0.3214,0.7101,0.2825,0.4775,0.8333,0.5158,ExtraTreeClassifier
0.5172,0.4452,0.5391,0.3008,0.4896,0.6667,0.4922,ExtraTreeClassifier
0.5211,0.4262,0.55,0.2934,0.4841,0.5,0.4881,ExtraTreeClassifier
0.5828,0.3238,0.6616,0.2657,0.4625,0.0,0.4927,ExtraTreeClassifier
0.5933,0.4976,0.6225,0.3624,0.5549,0.3333,0.56,ExtraTreeClassifier
0.4689,0.569,0.4384,0.3336,0.499,1.0,0.5037,ExtraTreeClassifier
0.6039,0.3024,0.6957,0.2628,0.4586,0.3333,0.499,ExtraTreeClassifier
0.9642,0.5611,0.9854,0.6102,0.7436,0.5,0.7732,ExtraTreeClassifier
0.8303,0.1611,0.8655,0.0866,0.3733,0.0,0.5133,ExtraTreeClassifier
0.8756,0.1444,0.914,0.1043,0.3611,0.0,0.5292,ExtraTreeClassifier
0.7381,0.1833,0.7673,0.0652,0.374,0.1667,0.4753,ExtraTreeClassifier
0.8764,0.2056,0.9117,0.142,0.4307,0.5,0.5586,ExtraTreeClassifier
0.8981,0.0611,0.9421,0.0563,0.2381,0.0,0.5016,ExtraTreeClassifier
0.8281,0.0667,0.8681,0.0374,0.2406,0.1667,0.4674,ExtraTreeClassifier
0.28,0.8333,0.2509,0.1037,0.4569,0.6667,0.5421,ExtraTreeClassifier
0.675,0.15,0.7026,0.0441,0.3246,0.1667,0.4263,ExtraTreeClassifier
0.9442,0.64,0.9718,0.6563,0.7886,0.5,0.8059,ExtraTreeClassifier
0.7169,0.3733,0.7482,0.1802,0.5284,1.0,0.5608,ExtraTreeClassifier
0.8375,0.1,0.9045,0.0942,0.2982,0.0,0.5023,ExtraTreeClassifier
0.7156,0.3867,0.7455,0.1842,0.5356,0.5,0.5661,ExtraTreeClassifier
0.8183,0.07,0.8864,0.0603,0.2479,0.0,0.4782,ExtraTreeClassifier
0.7897,0.1733,0.8458,0.1206,0.3819,0.0,0.5095,ExtraTreeClassifier
0.5933,0.2733,0.6224,0.1006,0.4121,0.8333,0.4479,ExtraTreeClassifier
0.8983,0.2633,0.9561,0.301,0.5012,0.0,0.6097,ExtraTreeClassifier
0.3097,0.4133,0.3003,0.0908,0.3519,0.5,0.3568,ExtraTreeClassifier
0.9467,0.7976,0.9664,0.7778,0.8779,0.1667,0.882,ExtraTreeClassifier
0.7606,0.231,0.8305,0.1843,0.438,0.1667,0.5307,ExtraTreeClassifier
0.6906,0.4119,0.7274,0.2369,0.5469,0.1667,0.5696,ExtraTreeClassifier
0.5233,0.2595,0.5582,0.1129,0.3806,0.5,0.4088,ExtraTreeClassifier
0.6156,0.2738,0.6607,0.1426,0.4253,0.1667,0.4673,ExtraTreeClassifier
0.8406,0.3571,0.9044,0.3417,0.5668,0.1667,0.6308,ExtraTreeClassifier
0.6794,0.2143,0.7409,0.1347,0.3975,0.3333,0.4776,ExtraTreeClassifier
0.775,0.1548,0.8569,0.1383,0.3641,0.0,0.5058,ExtraTreeClassifier
0.7172,0.2595,0.7777,0.1767,0.4492,0.1667,0.5186,ExtraTreeClassifier
0.9311,0.2944,0.9646,0.2991,0.5322,0.0,0.6295,ExtraTreeClassifier
0.8314,0.0778,0.8711,0.0438,0.2589,0.0,0.4744,ExtraTreeClassifier
0.8347,0.1833,0.869,0.1,0.3983,0.0,0.5262,ExtraTreeClassifier
0.8167,0.1778,0.8503,0.0886,0.3873,0.0,0.514,ExtraTreeClassifier
0.8506,0.1167,0.8892,0.0703,0.3083,0.0,0.5029,ExtraTreeClassifier
0.775,0.1667,0.807,0.069,0.3626,0.5,0.4868,ExtraTreeClassifier
0.6558,0.2722,0.676,0.0736,0.4285,0.3333,0.4741,ExtraTreeClassifier
0.8614,0.1611,0.8982,0.1026,0.3736,0.0,0.5297,ExtraTreeClassifier
0.8114,0.2778,0.8395,0.1283,0.4828,0.1667,0.5586,ExtraTreeClassifier
0.9153,0.5733,0.9464,0.531,0.7363,0.5,0.7598,ExtraTreeClassifier
0.7406,0.4367,0.7682,0.2191,0.5791,0.1667,0.6024,ExtraTreeClassifier
0.8647,0.2633,0.9194,0.2442,0.4907,0.0,0.5914,ExtraTreeClassifier
0.5789,0.4733,0.5885,0.1578,0.5275,0.5,0.5309,ExtraTreeClassifier
0.6978,0.25,0.7385,0.1209,0.4289,0.1667,0.4942,ExtraTreeClassifier
0.75,0.16,0.8036,0.0969,0.3584,0.0,0.4818,ExtraTreeClassifier
0.7111,0.2967,0.7488,0.1463,0.4712,0.0,0.5227,ExtraTreeClassifier
0.5967,0.3167,0.6221,0.1156,0.4435,0.6667,0.4694,ExtraTreeClassifier
0.6808,0.2633,0.7188,0.1214,0.4349,0.3333,0.4911,ExtraTreeClassifier
0.9078,0.5857,0.9503,0.5967,0.7458,0.1667,0.768,ExtraTreeClassifier
0.6556,0.0833,0.7311,0.0534,0.2466,0.6667,0.4072,ExtraTreeClassifier
0.7489,0.1381,0.8296,0.1139,0.3374,0.0,0.4838,ExtraTreeClassifier
0.4475,0.4786,0.4434,0.1681,0.4605,0.5,0.461,ExtraTreeClassifier
0.6242,0.3667,0.6582,0.1855,0.4913,0.3333,0.5124,ExtraTreeClassifier
0.5447,0.3952,0.5645,0.1685,0.4723,0.5,0.4799,ExtraTreeClassifier
0.5339,0.569,0.5292,0.2218,0.5488,0.5,0.5491,ExtraTreeClassifier
0.5094,0.5333,0.5063,0.2024,0.5195,1.0,0.5198,ExtraTreeClassifier
0.7897,0.3714,0.845,0.2917,0.5599,0.0,0.6082,ExtraTreeClassifier
0.875,0.3667,0.9018,0.2253,0.5696,0.3333,0.6342,ExtraTreeClassifier
0.8175,0.0889,0.8558,0.0466,0.2719,0.0,0.4724,ExtraTreeClassifier
0.8569,0.0944,0.8971,0.0632,0.2903,0.0,0.4958,ExtraTreeClassifier
0.8572,0.1556,0.8942,0.0988,0.3729,0.0,0.5249,ExtraTreeClassifier
0.8319,0.0722,0.8719,0.0412,0.2506,0.3333,0.4721,ExtraTreeClassifier
0.7475,0.2611,0.7731,0.0937,0.4493,0.3333,0.5171,ExtraTreeClassifier
0.8008,0.1833,0.8333,0.0839,0.3871,0.0,0.5083,ExtraTreeClassifier
0.8392,0.0778,0.8792,0.0461,0.2611,0.1667,0.4785,ExtraTreeClassifier
0.7394,0.2667,0.7643,0.0929,0.4496,0.0,0.5155,ExtraTreeClassifier
0.9128,0.4233,0.9573,0.4471,0.6365,0.0,0.6903,ExtraTreeClassifier
0.7128,0.12,0.7667,0.065,0.3027,0.0,0.4433,ExtraTreeClassifier
0.8167,0.17,0.8755,0.1341,0.3797,0.0,0.5227,ExtraTreeClassifier
0.6414,0.23,0.6788,0.0966,0.3951,0.0,0.4544,ExtraTreeClassifier
0.7931,0.0867,0.8573,0.0665,0.2705,0.1667,0.472,ExtraTreeClassifier
0.7353,0.2133,0.7827,0.1182,0.4074,0.0,0.498,ExtraTreeClassifier
0.815,0.2033,0.8706,0.1548,0.4206,0.6667,0.537,ExtraTreeClassifier
0.685,0.34,0.7164,0.1525,0.4935,0.6667,0.5282,ExtraTreeClassifier
0.7269,0.2767,0.7679,0.1447,0.4607,0.1667,0.5223,ExtraTreeClassifier
0.8719,0.4333,0.9299,0.4416,0.6348,0.3333,0.6816,ExtraTreeClassifier
0.7203,0.1262,0.7987,0.0951,0.317,0.0,0.4625,ExtraTreeClassifier
0.7161,0.2429,0.7786,0.1657,0.4317,0.1667,0.5107,ExtraTreeClassifier
0.605,0.4095,0.6308,0.1948,0.508,0.6667,0.5202,ExtraTreeClassifier
0.6347,0.4238,0.6626,0.2131,0.5299,0.3333,0.5432,ExtraTreeClassifier
0.6733,0.2952,0.7233,0.1743,0.462,0.1667,0.5093,ExtraTreeClassifier
0.6769,0.2452,0.734,0.1505,0.4239,0.1667,0.4896,ExtraTreeClassifier
0.6058,0.2881,0.6478,0.1456,0.4316,0.1667,0.4679,ExtraTreeClassifier
0.6117,0.3357,0.6481,0.1677,0.4662,0.8333,0.4919,ExtraTreeClassifier
0.8828,0.5333,0.9216,0.4742,0.6992,0.3333,0.7275,DecisionTreeClassifier
0.5511,0.4778,0.5593,0.176,0.5165,0.0,0.5185,DecisionTreeClassifier
0.71,0.2278,0.7636,0.1358,0.417,0.6667,0.4957,DecisionTreeClassifier
0.4794,0.25,0.5049,0.0883,0.353,0.5,0.3775,DecisionTreeClassifier
0.7811,0.1889,0.8469,0.1473,0.3999,0.0,0.5179,DecisionTreeClassifier
0.4472,0.2833,0.4654,0.093,0.3631,0.5,0.3744,DecisionTreeClassifier
0.6139,0.2889,0.65,0.129,0.4291,0.3333,0.4694,DecisionTreeClassifier
0.6489,0.4611,0.6698,0.2081,0.5553,1.0,0.5654,DecisionTreeClassifier
0.7367,0.1667,0.8,0.1124,0.3651,0.0,0.4833,DecisionTreeClassifier
0.9033,0.7767,0.9287,0.7278,0.8491,0.1667,0.8527,DecisionTreeClassifier
0.6183,0.47,0.648,0.2909,0.5511,0.0,0.559,DecisionTreeClassifier
0.6361,0.44,0.6753,0.2862,0.5436,0.3333,0.5577,DecisionTreeClassifier
0.4417,0.14,0.502,0.077,0.2645,0.3333,0.321,DecisionTreeClassifier
0.7122,0.0133,0.852,0.0152,0.087,0.0,0.4327,DecisionTreeClassifier
0.7239,0.28,0.8127,0.2524,0.475,0.3333,0.5463,DecisionTreeClassifier
0.6906,0.67,0.6947,0.4196,0.6822,0.6667,0.6823,DecisionTreeClassifier
0.4961,0.15,0.5653,0.0903,0.291,0.3333,0.3577,DecisionTreeClassifier
0.2772,0.3833,0.256,0.1502,0.3131,0.8333,0.3197,DecisionTreeClassifier
0.8406,0.7952,0.8543,0.6995,0.8243,0.1667,0.8248,DecisionTreeClassifier
0.665,0.25,0.7913,0.2582,0.4447,0.8333,0.5207,DecisionTreeClassifier
0.6256,0.1286,0.7768,0.1377,0.315,0.5,0.4527,DecisionTreeClassifier
0.3844,0.2429,0.4275,0.1553,0.3218,0.3333,0.3352,DecisionTreeClassifier
0.4572,0.1881,0.5391,0.1392,0.3184,0.3333,0.3636,DecisionTreeClassifier
0.64,0.4048,0.7116,0.3445,0.5364,0.5,0.5582,DecisionTreeClassifier
0.4217,0.3738,0.4362,0.2317,0.4035,0.6667,0.405,DecisionTreeClassifier
0.5356,0.3429,0.5942,0.2566,0.4512,0.0,0.4685,DecisionTreeClassifier
0.5394,0.3643,0.5928,0.2693,0.4642,0.1667,0.4785,DecisionTreeClassifier
0.8861,0.5222,0.9265,0.4742,0.6913,0.1667,0.7244,DecisionTreeClassifier
0.7656,0.0667,0.8432,0.0539,0.2371,0.0,0.4549,DecisionTreeClassifier
0.7139,0.1111,0.7809,0.0725,0.294,0.0,0.446,DecisionTreeClassifier
0.7917,0.3556,0.8401,0.254,0.5456,0.0,0.5978,DecisionTreeClassifier
0.7378,0.4333,0.7716,0.2484,0.578,0.1667,0.6025,DecisionTreeClassifier
0.7611,0.1444,0.8296,0.1082,0.3458,0.1667,0.487,DecisionTreeClassifier
0.615,0.4556,0.6327,0.1916,0.5367,0.6667,0.5441,DecisionTreeClassifier
0.6461,0.2556,0.6895,0.1256,0.4173,0.5,0.4725,DecisionTreeClassifier
0.5439,0.4389,0.5556,0.1611,0.4924,0.6667,0.4972,DecisionTreeClassifier
0.855,0.5867,0.9087,0.5744,0.7299,0.5,0.7477,DecisionTreeClassifier
0.66,0.2467,0.7427,0.1947,0.428,0.1667,0.4947,DecisionTreeClassifier
0.7106,0.2167,0.8093,0.1997,0.4186,0.1667,0.513,DecisionTreeClassifier
0.5633,0.4233,0.5913,0.2439,0.4996,0.1667,0.5073,DecisionTreeClassifier
0.5228,0.4133,0.5447,0.224,0.4744,0.1667,0.479,DecisionTreeClassifier
0.4139,0.43,0.4107,0.1963,0.4198,0.5,0.4203,DecisionTreeClassifier
0.6767,0.2567,0.7607,0.2093,0.4418,0.0,0.5087,DecisionTreeClassifier
0.5089,0.32,0.5467,0.1788,0.4181,0.1667,0.4333,DecisionTreeClassifier
0.5333,0.32,0.576,0.1865,0.4293,0.1667,0.448,DecisionTreeClassifier
0.7906,0.6738,0.8261,0.5995,0.7456,1.0,0.7499,DecisionTreeClassifier
0.4672,0.4881,0.4609,0.2998,0.4743,0.1667,0.4745,DecisionTreeClassifier
0.6017,0.4524,0.6471,0.3464,0.5411,0.1667,0.5497,DecisionTreeClassifier
0.6028,0.4667,0.6442,0.3541,0.5483,0.3333,0.5554,DecisionTreeClassifier
0.5756,0.4548,0.6123,0.3329,0.5271,0.1667,0.5335,DecisionTreeClassifier
0.6606,0.1286,0.8225,0.1503,0.325,0.1667,0.4755,DecisionTreeClassifier
0.4728,0.5476,0.45,0.3262,0.496,0.8333,0.4988,DecisionTreeClassifier
0.4678,0.6024,0.4268,0.3457,0.5071,0.1667,0.5146,DecisionTreeClassifier
0.5339,0.4548,0.558,0.3128,0.5035,0.6667,0.5064,DecisionTreeClassifier
0.745,0.5889,0.7623,0.3155,0.6691,0.5,0.6756,DecisionTreeClassifier
0.7828,0.1333,0.8549,0.1094,0.3376,0.0,0.4941,DecisionTreeClassifier
0.7711,0.1667,0.8383,0.1269,0.3728,0.0,0.5025,DecisionTreeClassifier
0.6806,0.25,0.7284,0.1354,0.4267,0.0,0.4892,DecisionTreeClassifier
0.7639,0.15,0.8321,0.1131,0.3533,0.1667,0.491,DecisionTreeClassifier
0.6817,0.1333,0.7426,0.0775,0.3136,0.0,0.438,DecisionTreeClassifier
0.6061,0.3278,0.637,0.1427,0.4568,0.5,0.4824,DecisionTreeClassifier
0.7317,0.3056,0.779,0.1854,0.4869,0.3333,0.5423,DecisionTreeClassifier
0.7539,0.2611,0.8086,0.1735,0.4561,0.5,0.5349,DecisionTreeClassifier
0.8311,0.5067,0.896,0.4995,0.6733,0.0,0.7013,DecisionTreeClassifier
0.6928,0.3033,0.7707,0.2448,0.4794,0.3333,0.537,DecisionTreeClassifier
0.7161,0.2167,0.816,0.2016,0.4186,0.1667,0.5163,DecisionTreeClassifier
0.6411,0.3,0.7093,0.2174,0.4604,0.3333,0.5047,DecisionTreeClassifier
0.5778,0.2133,0.6507,0.1443,0.3725,0.5,0.432,DecisionTreeClassifier
0.5539,0.3433,0.596,0.2034,0.4506,0.1667,0.4697,DecisionTreeClassifier
0.6506,0.45,0.6907,0.2997,0.5567,0.6667,0.5703,DecisionTreeClassifier
0.5883,0.44,0.618,0.2617,0.5198,0.3333,0.529,DecisionTreeClassifier
0.5706,0.2267,0.6393,0.1494,0.3801,0.1667,0.433,DecisionTreeClassifier
0.8072,0.5952,0.8717,0.591,0.7203,0.1667,0.7335,DecisionTreeClassifier
0.605,0.1786,0.7348,0.1738,0.3614,0.3333,0.4567,DecisionTreeClassifier
0.5156,0.5405,0.508,0.3424,0.524,0.1667,0.5242,DecisionTreeClassifier
0.5811,0.4667,0.6159,0.3415,0.5354,0.5,0.5413,DecisionTreeClassifier
0.5694,0.3905,0.6239,0.2974,0.4936,0.5,0.5072,DecisionTreeClassifier
0.5822,0.319,0.6623,0.2627,0.4595,0.5,0.4907,DecisionTreeClassifier
0.4672,0.5333,0.4471,0.3188,0.4883,0.5,0.4902,DecisionTreeClassifier
0.4639,0.5571,0.4355,0.3268,0.4923,0.8333,0.4963,DecisionTreeClassifier
0.57,0.2571,0.6652,0.2179,0.4132,0.3333,0.4612,DecisionTreeClassifier
0.9664,0.5611,0.9877,0.6255,0.7444,0.5,0.7744,DecisionTreeClassifier
0.9492,0.1778,0.9898,0.259,0.4194,0.0,0.5838,DecisionTreeClassifier
0.8794,0.1278,0.919,0.0965,0.3399,0.0,0.5234,DecisionTreeClassifier
0.6972,0.3889,0.7135,0.1141,0.5267,0.0,0.5512,DecisionTreeClassifier
0.8925,0.15,0.9316,0.1226,0.3738,0.3333,0.5408,DecisionTreeClassifier
0.9244,0.0222,0.9719,0.0281,0.1448,0.1667,0.4971,DecisionTreeClassifier
0.8314,0.0611,0.8719,0.0352,0.2304,0.1667,0.4665,DecisionTreeClassifier
0.6683,0.5,0.6772,0.1312,0.5818,0.8333,0.5886,DecisionTreeClassifier
0.8503,0.1833,0.8854,0.1086,0.3961,0.1667,0.5344,DecisionTreeClassifier
0.9322,0.5533,0.9667,0.5761,0.7312,0.5,0.76,DecisionTreeClassifier
0.7078,0.39,0.7367,0.1825,0.536,1.0,0.5633,DecisionTreeClassifier
0.8686,0.1267,0.9361,0.1386,0.3442,0.3333,0.5314,DecisionTreeClassifier
0.5819,0.56,0.5839,0.1824,0.5714,1.0,0.572,DecisionTreeClassifier
0.8156,0.1033,0.8803,0.085,0.2994,0.1667,0.4918,DecisionTreeClassifier
0.7517,0.2033,0.8015,0.12,0.403,0.3333,0.5024,DecisionTreeClassifier
0.7706,0.1767,0.8245,0.1138,0.3816,0.0,0.5006,DecisionTreeClassifier
0.9,0.2633,0.9579,0.3045,0.5017,0.0,0.6106,DecisionTreeClassifier
0.3111,0.3867,0.3042,0.0856,0.3429,0.5,0.3455,DecisionTreeClassifier
0.9444,0.7929,0.9645,0.7698,0.8745,0.1667,0.8787,DecisionTreeClassifier
0.7775,0.2286,0.85,0.194,0.4407,0.1667,0.5393,DecisionTreeClassifier
0.7206,0.3429,0.7704,0.2219,0.5129,0.1667,0.5566,DecisionTreeClassifier
0.4247,0.3881,0.4296,0.136,0.4083,0.3333,0.4088,DecisionTreeClassifier
0.6106,0.2881,0.6531,0.1473,0.4336,0.1667,0.4706,DecisionTreeClassifier
0.8508,0.2643,0.9283,0.2924,0.4952,0.0,0.5963,DecisionTreeClassifier
0.7969,0.1429,0.8833,0.1398,0.3528,0.8333,0.5131,DecisionTreeClassifier
0.7833,0.1,0.8736,0.0968,0.2924,0.0,0.4868,DecisionTreeClassifier
0.7172,0.2595,0.7777,0.1767,0.4492,0.1667,0.5186,DecisionTreeClassifier
0.9158,0.3667,0.9447,0.3055,0.5875,0.5,0.6557,DecisionTreeClassifier
0.8825,0.05,0.9263,0.041,0.2072,0.0,0.4882,DecisionTreeClassifier
0.8097,0.1167,0.8462,0.059,0.313,0.1667,0.4814,DecisionTreeClassifier
0.7425,0.2389,0.769,0.0845,0.4269,0.8333,0.5039,DecisionTreeClassifier
0.8514,0.25,0.883,0.1449,0.4678,0.0,0.5665,DecisionTreeClassifier
0.7819,0.1444,0.8155,0.0623,0.3411,0.3333,0.48,DecisionTreeClassifier
0.6553,0.2333,0.6775,0.0633,0.397,0.3333,0.4554,DecisionTreeClassifier
0.7994,0.3222,0.8246,0.1398,0.5132,0.3333,0.5734,DecisionTreeClassifier
0.8058,0.2833,0.8333,0.1274,0.4859,0.1667,0.5583,DecisionTreeClassifier
0.9136,0.4867,0.9524,0.4843,0.6808,0.5,0.7195,DecisionTreeClassifier
0.7406,0.4367,0.7682,0.2191,0.5791,0.1667,0.6024,DecisionTreeClassifier
0.8614,0.34,0.9088,0.2904,0.5559,0.3333,0.6244,DecisionTreeClassifier
0.5847,0.48,0.5942,0.1615,0.5338,0.5,0.5371,DecisionTreeClassifier
0.7022,0.2167,0.7464,0.1075,0.4004,0.1667,0.4815,DecisionTreeClassifier
0.6939,0.2633,0.733,0.1261,0.4392,0.0,0.4982,DecisionTreeClassifier
0.7017,0.28,0.74,0.1352,0.4546,0.0,0.51,DecisionTreeClassifier
0.7181,0.35,0.7515,0.1711,0.5119,0.0,0.5508,DecisionTreeClassifier
0.71,0.2267,0.7539,0.1154,0.4133,0.3333,0.4903,DecisionTreeClassifier
0.9119,0.5619,0.9582,0.5982,0.7337,0.1667,0.76,DecisionTreeClassifier
0.6647,0.081,0.7418,0.0533,0.245,0.6667,0.4114,DecisionTreeClassifier
0.7408,0.1238,0.8223,0.1003,0.319,0.0,0.4731,DecisionTreeClassifier
0.4492,0.4786,0.4453,0.1685,0.4613,0.5,0.4619,DecisionTreeClassifier
0.6247,0.3762,0.6575,0.1897,0.4973,0.3333,0.5169,DecisionTreeClassifier
0.6011,0.3786,0.6305,0.1814,0.4885,0.3333,0.5045,DecisionTreeClassifier
0.6083,0.4905,0.6239,0.2271,0.5531,0.3333,0.5572,DecisionTreeClassifier
0.5239,0.5262,0.5236,0.2052,0.5247,1.0,0.5249,DecisionTreeClassifier
0.7903,0.3357,0.8503,0.2717,0.534,0.0,0.593,DecisionTreeClassifier
0.9222,0.2333,0.9585,0.2318,0.4729,0.0,0.5959,DecisionTreeClassifier
0.77,0.1667,0.8018,0.0679,0.3648,0.3333,0.4842,DecisionTreeClassifier
0.8644,0.1,0.9047,0.0693,0.3008,0.0,0.5023,DecisionTreeClassifier
0.8314,0.1167,0.869,0.0644,0.3168,0.1667,0.4928,DecisionTreeClassifier
0.8539,0.0722,0.895,0.047,0.2539,0.0,0.4836,DecisionTreeClassifier
0.6939,0.2611,0.7167,0.0784,0.4313,0.3333,0.4889,DecisionTreeClassifier
0.7619,0.1889,0.7921,0.0735,0.3867,0.0,0.4905,DecisionTreeClassifier
0.8847,0.1167,0.9251,0.0915,0.3269,0.1667,0.5209,DecisionTreeClassifier
0.7106,0.35,0.7295,0.1079,0.5053,0.6667,0.5398,DecisionTreeClassifier
0.9117,0.4233,0.9561,0.4437,0.6359,0.0,0.6897,DecisionTreeClassifier
0.7353,0.1167,0.7915,0.0686,0.3029,0.0,0.4541,DecisionTreeClassifier
0.8517,0.0833,0.9215,0.0853,0.2766,0.0,0.5024,DecisionTreeClassifier
0.7775,0.17,0.8327,0.1138,0.3751,0.3333,0.5014,DecisionTreeClassifier
0.7667,0.13,0.8245,0.085,0.3235,0.1667,0.4773,DecisionTreeClassifier
0.6456,0.3867,0.6691,0.1542,0.5078,0.3333,0.5279,DecisionTreeClassifier
0.7622,0.26,0.8079,0.1546,0.4582,0.1667,0.5339,DecisionTreeClassifier
0.6128,0.3833,0.6336,0.1417,0.4928,0.6667,0.5085,DecisionTreeClassifier
0.7644,0.16,0.8194,0.1017,0.3621,0.0,0.4897,DecisionTreeClassifier
0.8686,0.5286,0.9135,0.4835,0.6943,0.1667,0.721,DecisionTreeClassifier
0.7347,0.1452,0.8126,0.1134,0.3435,0.0,0.4789,DecisionTreeClassifier
0.7106,0.2214,0.7752,0.1505,0.4081,0.1667,0.4983,DecisionTreeClassifier
0.6797,0.2333,0.7387,0.1453,0.4151,0.3333,0.486,DecisionTreeClassifier
0.6564,0.3643,0.695,0.198,0.5026,0.0,0.5296,DecisionTreeClassifier
0.73,0.2429,0.7943,0.1734,0.4391,0.3333,0.5186,DecisionTreeClassifier
0.6431,0.2619,0.6934,0.1463,0.4261,0.1667,0.4777,DecisionTreeClassifier
