Z,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,0.7337997256555555,0.27959631589074074,0.7866497903888889,0.21550778761296296,0.39300381454753086,0.24485596708024693,0.5331230531450617
4,0.7284173525351852,0.28434940231358025,0.7808559560549383,0.21909104543271604,0.40358619291666664,0.2592592592617284,0.5326026791796297
8,0.7241889574759259,0.2943543013864197,0.7752746461333333,0.2248053641765432,0.4151495877037037,0.25308641975308643,0.5348144737604938
16,0.7128412208493827,0.3123682147716049,0.7603357945191358,0.23196458894876543,0.4326623054654321,0.27263374485493824,0.5363520046444444
32,0.6968072702358025,0.3309200470277778,0.7410591121901234,0.23533693348333334,0.4542592028858025,0.2818930041148148,0.5359895796111112
