Z,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,0.8561659807938272,0.06094160297839506,0.9649703546166667,0.08270966740246914,0.16882060506666666,0.030864197532716048,0.5129559787987654
4,0.8557767489691358,0.06117871840308642,0.9643852367462964,0.08275126744444444,0.16883068825555556,0.03292181070185185,0.5127819775722222
8,0.8562602880604939,0.06097981579629629,0.9649959745530865,0.08218707935061728,0.1671534023888889,0.029835390948148147,0.5129878951753086
16,0.8558041838098766,0.061716637272839506,0.9642502606641975,0.0826029856808642,0.16929306651296297,0.03497942387037037,0.5129834489697531
32,0.8544067215358024,0.060089163239506166,0.9626853603296297,0.0812337122191358,0.16662373029506175,0.030864197533333332,0.511387261784568
