Z,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,0.6861248285314815,0.31210366450864196,0.7311139252635802,0.2073593695271605,0.4526203575462963,0.29732510288456787,0.5216087948845679
4,0.6875600137191358,0.310772094845679,0.7318140142864198,0.20674147093024692,0.4537803988271605,0.30761316872530864,0.5212930545654321
8,0.6815723594,0.326420732904321,0.7212396465956791,0.21122292014506172,0.46233437058271604,0.3117283950611111,0.5238301897493828
16,0.6645713305864198,0.3469400352740741,0.6993242799277778,0.211080354191358,0.46901754789012345,0.33539094650185186,0.5231321576024691
32,0.6241529492469137,0.3975004899061728,0.6458270118160494,0.2131481919728395,0.48344149334876546,0.37242798354012346,0.5216637508635803
