,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,0.8827777778,0.5333333333,0.9216049383,0.47421995580000004,0.6992020394,0.33333333330000003,0.7274691358
1,0.5511111111,0.4777777778,0.5592592593,0.1759834369,0.5164503157,0.0,0.5185185185
2,0.71,0.2277777778,0.7635802469,0.1357732788,0.41699028590000004,0.6666666667000001,0.4956790123
3,0.4794444444,0.25,0.5049382716,0.088273084,0.35297857460000004,0.5,0.3774691358
4,0.7811111111,0.1888888889,0.8469135802000001,0.1472552349,0.3998965781,0.0,0.5179012346
5,0.4472222222,0.2833333333,0.4654320988,0.0929964546,0.36312656930000003,0.5,0.374382716
6,0.6138888889,0.28888888890000003,0.65,0.1290115739,0.42912374750000004,0.33333333330000003,0.4694444444
7,0.6488888889000001,0.4611111111,0.6697530864,0.20812053120000001,0.5553486628000001,1.0,0.5654320988
8,0.7366666667,0.1666666667,0.8,0.1123666039,0.36514788200000003,0.0,0.4833333333
9,0.8333333333,0.6166666667,0.8574074074,0.42544850500000003,0.7270490276,0.8333333333,0.737037037
10,0.435,0.6166666667,0.41481481480000004,0.1789966713,0.5044352426000001,0.0,0.5157407407
11,0.5988888889,0.1444444444,0.6493827160000001,0.06682611720000001,0.3039998754,0.5,0.3969135802
12,0.53,0.2166666667,0.5648148148000001,0.0851041019,0.3464657544,0.33333333330000003,0.39074074070000003
13,0.7161111111,0.42777777780000004,0.7481481481000001,0.231489408,0.5634129373,0.0,0.5879629630000001
14,0.4472222222,0.2111111111,0.4734567901,0.0709401709,0.31604422590000003,0.1666666667,0.3422839506
15,0.6072222222,0.36666666670000003,0.6339506173,0.1564577758,0.4765693877,0.5,0.500308642
16,0.77,0.1611111111,0.837654321,0.123245614,0.3670259931,0.1666666667,0.499382716
17,0.7344444444,0.0666666667,0.8086419753,0.0478102888,0.2321839836,0.33333333330000003,0.437654321
18,0.9088888889000001,0.55,0.9487654321000001,0.5467246052,0.7221733722,0.5,0.7493827160000001
19,0.5533333333,0.42777777780000004,0.5672839506,0.1613202085,0.4920448445,0.0,0.49753086420000003
