,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,0.9627777778000001,0.6333333333,0.9993827160000001,0.7726752057,0.7954435558,0.5,0.8163580247000001
1,0.7838888889000001,0.2666666667,0.8413580247,0.1982323232,0.4732743714,0.33333333330000003,0.5540123457
2,0.7044444444,0.09444444440000001,0.7722222222,0.0604884898,0.2659279929,0.0,0.4333333333
3,0.39444444440000004,0.5055555556,0.38209876540000004,0.143053752,0.439320694,0.6666666667000001,0.44382716050000004
4,0.7655555556,0.1055555556,0.8388888889,0.08188958190000001,0.2911338471,0.0,0.47222222220000004
5,0.5522222222000001,0.0833333333,0.6043209877,0.0360693923,0.2225974701,0.1666666667,0.3438271605
6,0.5216666667000001,0.4055555556,0.5345679012,0.1450248756,0.4639203771,0.6666666667000001,0.4700617284
7,0.7072222222,0.5222222222,0.7277777778000001,0.2629068364,0.6162498967000001,1.0,0.625
8,0.6505555556,0.4611111111,0.6716049383,0.2088050314,0.5564756906,0.6666666667000001,0.5663580247000001
9,0.9638888889,0.6444444444,0.9993827160000001,0.7807560137,0.8022907599,0.5,0.8219135802
10,0.7677777778,0.2777777778,0.8222222222000001,0.19269841270000002,0.4770620331,0.5,0.55
11,0.73,0.0777777778,0.8024691358,0.0541792825,0.24333888750000002,0.0,0.44012345680000003
12,0.3911111111,0.5111111111000001,0.3777777778,0.143637902,0.4389730063,0.6666666667000001,0.4444444444
13,0.7755555556,0.1055555556,0.85,0.0857707022,0.29324634120000004,0.0,0.4777777778
14,0.5650000000000001,0.09444444440000001,0.6172839506000001,0.0416791035,0.24074986750000002,0.1666666667,0.35586419750000003
15,0.465,0.4777777778,0.4635802469,0.1513156676,0.4689503346,1.0,0.47067901230000003
16,0.7238888889,0.5222222222,0.7462962963,0.2742729816,0.6239749330000001,1.0,0.6342592593
17,0.6583333333,0.48888888890000004,0.6771604938,0.2225186867,0.5753146043,0.8333333333,0.5830246914
18,0.965,0.6666666667000001,0.9981481481000001,0.7918399683,0.8156110856000001,0.5,0.8324074074000001
19,0.7277777778000001,0.2,0.7864197531,0.1279426424,0.3958414167,0.0,0.49320987650000003
20,0.7016666667,0.061111111100000004,0.7728395062000001,0.0391039802,0.2069789792,0.0,0.41697530860000004
21,0.4133333333,0.5166666667,0.4018518519,0.149806995,0.4553745374,0.6666666667000001,0.4592592593
22,0.7888888889,0.0833333333,0.8672839506000001,0.0735449735,0.2659065948,0.0,0.475308642
23,0.5055555556,0.1055555556,0.55,0.0410116441,0.2408575581,0.1666666667,0.3277777778
24,0.455,0.5055555556,0.449382716,0.1564159963,0.47481471420000004,1.0,0.4774691358
25,0.7238888889,0.5611111111,0.7419753086,0.2890706944,0.6450605083000001,0.6666666667000001,0.6515432099
26,0.6566666667000001,0.5055555556,0.6734567901,0.2275792919,0.5834959864,0.8333333333,0.5895061728000001
27,0.9622222222000001,0.6888888889,0.9925925926,0.7841915582000001,0.8265701067000001,0.5,0.8407407407
28,0.6938888889,0.1555555556,0.7537037037000001,0.0922218177,0.3422845733,0.0,0.45462962960000003
29,0.7588888889000001,0.1777777778,0.8234567901000001,0.1266815587,0.3702234276,0.33333333330000003,0.500617284
30,0.43666666670000004,0.48888888890000004,0.4308641975,0.1477029915,0.45826837870000003,0.6666666667000001,0.45987654320000004
31,0.77,0.1055555556,0.8438271605000001,0.08403237670000001,0.2975787689,0.33333333330000003,0.474691358
32,0.5061111111000001,0.0722222222,0.5543209877,0.028483323,0.19989831460000002,0.0,0.3132716049
33,0.4122222222,0.5944444444,0.3919753086,0.1680126683,0.481562543,1.0,0.49320987650000003
34,0.725,0.5333333333,0.7462962963,0.2795182545,0.6308880864,0.6666666667000001,0.6398148148
35,0.6494444444,0.4666666667,0.6697530864,0.21013071900000002,0.5587285883,0.5,0.5682098765
