SVC,NuSVClinear,ExtraTreeClassifier,DecisionTreeClassifier,NuSVCpoly,SVClinear,SVCpoly,NuSVCrbf,SVCsigmoid,RidgeClassifier,GaussianProcessClassifier,NuSVCsigmoid,NuSVC,GaussianNB,KNeighborsClassifier,SGDClassifier,SVCrbf
0.7766888708285714,0.5798818434285715,0.7285784437285715,0.6531343591000001,0.8691750182142857,0.7283698704571429,0.8392286854285713,0.782852944757143,0.7268581373428571,0.6631016166714286,0.6719753320285715,0.5498575348857144,0.7786215571428572,0.44021021227142854,0.7825154643857143,0.7205284177285715,0.8093681063428572
0.4192235224714286,0.5246851729857143,0.39619198204285716,0.3998714884714286,0.4625819715857143,0.40586115770000003,0.39247171449999996,0.4929665648428572,0.39118636238571425,0.40182652435714283,0.4916651758142857,0.4332504377857143,0.3499210950428572,0.3235978835857143,0.5234946791999999,0.4021050463428572,0.5131768128571428
0.46409319527142856,0.5914303322571429,0.4816803680857143,0.4880667526285714,0.5458243766428571,0.4574955521571429,0.4615164516142857,0.3329801324285714,0.43347318441428573,0.4900649354857142,0.44013518224285725,0.5115548248285714,0.42444980155714285,0.3426455026285714,0.3748986371714286,0.34285714285714286,0.3287724117571429
0.3808286942142857,0.6277652436,0.3473879650714285,0.3647290729142858,0.4661631150714286,0.34074104252857146,0.3962046876285715,0.42499529122857144,0.35036203047142855,0.34763261627142855,0.4053239349142857,0.3358950974571429,0.47643403338571433,0.3426455026285714,0.3792084254571428,0.34374832815714285,0.4251048487000001
0.3984042395428572,0.49904148395714293,0.4105947725,0.4117095182571429,0.4380692501571429,0.5145795522,0.3506253022428571,0.36503509304285714,0.46169633388571435,0.5216099223285714,0.3567351951142857,0.34388211121428575,0.36503509304285714,0.34285714285714286,0.3472976646142857,0.39065710145714283,0.34966039924285713
0.24875497485714287,0.4522759167714286,0.2758682410857143,0.36092762774285714,0.2917266327857143,0.4195238531,0.26785410515714286,0.28700531897142856,0.4199198877,0.4308820292142857,0.2973898094857143,0.3452217433714286,0.28700531897142856,0.33587301587142854,0.35575953274285715,0.5288390288571428,0.29726896964285715
0.41430519645714287,0.28262673688571427,0.40538056312857146,0.41624155384285716,0.4311740864714286,0.34563316608571426,0.47952381061428573,0.45820911018571436,0.3939816975428571,0.4103830277857143,0.4405485598285715,0.3281226962571429,0.5015748382428571,0.34243386242857143,0.4416672577571429,0.40254568678571434,0.49597252038571427
0.6304647640285715,0.31523943467142856,0.4984423570857143,0.5869506256,0.5631589387571428,0.4718784751428572,0.5658474188571428,0.6373398507571428,0.46626674828571435,0.47259861895714284,0.45101371058571427,0.6039043078428571,0.6333869958857142,0.38597655382857143,0.4885635368571429,0.4839253618428572,0.6248207372142858
0.5042303125571429,0.45940895875714294,0.4602971760285715,0.3805973075142857,0.5505678226285714,0.2700063892571428,0.5051506217571429,0.5402252883428572,0.2195505781142857,0.2923669032428572,0.46149851522857155,0.4573622103428572,0.5348084126142858,0.34137566137142855,0.4652277460285715,0.2723368833285714,0.5736336715857143
0.7751451305000001,0.7514883142000001,0.7623455395571429,0.7186107586142858,0.8043272890142857,0.7149717181428571,0.8633922821285713,0.7875252004428572,0.7247322492285714,0.6915969303285715,0.6719753320285715,0.5437047067,0.7667126823285715,0.43963189542857134,0.7815015426571429,0.7135111260571428,0.8183471108857142
0.5056704334000001,0.5051554573428572,0.4943742750999999,0.38080773372857146,0.4685551593285715,0.4034755801142857,0.4620207382285715,0.5125054605142857,0.37295109434285717,0.38405681047142864,0.49201998952857146,0.5078197721142858,0.44286398222857143,0.32317460317142854,0.5101620539,0.3960905829714285,0.5125882903
0.46261954218571427,0.5914303322571429,0.5225315205857143,0.3800650888714286,0.49501767158571436,0.4157344505857143,0.4126851622,0.33541264862857145,0.34285714285714286,0.42681527007142855,0.4407187363,0.5115548248285714,0.33541264862857145,0.34285714285714286,0.46669305747142864,0.45128378724285717,0.40903663925714284
0.3811323156428572,0.35192033411428575,0.36140026911428574,0.3524464874,0.46510610535714286,0.35507779382857146,0.39399252837142856,0.42481743134285715,0.34912771615714294,0.33390145295714285,0.4078349745428572,0.3137399165857143,0.4186345571857143,0.3422222222142857,0.37974402188571427,0.3485680988,0.4212514067
0.3927923911571429,0.5786002296142857,0.4213637491285715,0.4678431921857143,0.34807355590000005,0.4301893572285715,0.3711436414714286,0.3697008474857143,0.43916535791428574,0.5245141709285714,0.35694683534285715,0.40641978910000004,0.38000924327142854,0.34285714285714286,0.3640631026571429,0.4190231717714285,0.3479252153714286
0.25714652522857145,0.4522759167714286,0.41566018002857147,0.28967501964285713,0.33725977347142855,0.4191751070428572,0.29794047097142856,0.2973840328857143,0.34285714285714286,0.42203125900000005,0.29911926874285716,0.33368555362857144,0.3048869910142858,0.3369312169285715,0.35575953274285715,0.4154716005428571,0.3141110045428571
0.4225535068,0.5197570627857144,0.49030421498571436,0.46302504452857146,0.5191890084714286,0.33090826677142854,0.4801625610714285,0.4996147198857143,0.3872072827857143,0.4008590453714286,0.4382417645,0.3281226962571429,0.4996147198857143,0.34243386242857143,0.4416672577571429,0.42150195728571427,0.4976503395571429
0.6174192619857143,0.4479403028714285,0.43208410987142853,0.4178694888428571,0.6002708462714287,0.42842950852857137,0.6696689633428571,0.6464163687571428,0.42842950852857137,0.48374559077142865,0.43655071525714284,0.5713209640714286,0.6464163687571428,0.3864829731285715,0.47959281604285714,0.4789954823714286,0.6280753444857143
0.4967914757571429,0.45940895875714294,0.3801050018714286,0.3801050018714286,0.5387299217714286,0.2974184400571428,0.5013590730857143,0.5769391473857144,0.23915046771428575,0.3064778375857143,0.45769435348571424,0.4945764466857144,0.5775251140714286,0.34137566137142855,0.4652277460285715,0.2540104781714286,0.5256249650714285
0.780697641,0.3207262634142857,0.6903171367714286,0.7037050020571429,0.8128676819428572,0.7117652512000001,0.8669360672857144,0.7956676108714286,0.7282478376285715,0.6855881407428572,0.6748059460285714,0.5561955904142858,0.7998958654428572,0.4233521428428571,0.7754139586000001,0.7045597487428571,0.8093681063428572
0.4174217445857143,0.6124007257,0.36220409862857145,0.3856129969857142,0.5246712463142857,0.3996661204714286,0.4383304454285714,0.3901702095,0.3891645294857143,0.3884362020285714,0.47938471645714287,0.42834557721428573,0.47052505774285713,0.3240211640285714,0.5123092736285715,0.4003953543571429,0.4243554165571429
0.46684355995714283,0.5914303322571429,0.45307620481428573,0.4900145699428572,0.5038735024571429,0.4476169870142857,0.4154557634428572,0.3140965074285714,0.4144382598285715,0.4882716067571429,0.43189801987142856,0.5229985288714286,0.3103782646857143,0.3422222222142857,0.4587737871571429,0.49328889731428577,0.39878606394285715
0.38013013515714295,0.3343919634571429,0.42028533374285715,0.34924371964285716,0.40922748207142856,0.3419998924285715,0.4039832265857143,0.43756561575714287,0.3465144489714285,0.3462102080428572,0.4020584895714286,0.33521939461428574,0.43925288294285725,0.34285714285714286,0.3928918910428572,0.3407222765000001,0.4260382504142858
0.4169353311285714,0.4390568866428572,0.4357798147428572,0.3824554390428571,0.5667155186571429,0.4074999408428571,0.3568130770142858,0.36489519758571426,0.4389368412571429,0.5527378243571428,0.35694683534285715,0.40999017632857143,0.36100987264285717,0.34285714285714286,0.3472976646142857,0.43156619842857147,0.34870205551428574
0.2299697959857143,0.3788286405571429,0.3696618644857143,0.3428965437142857,0.2933411983,0.41210450390000003,0.2502403517857143,0.2767749654142857,0.34285714285714286,0.43407940644285714,0.2999294920285714,0.34320560237142855,0.2767749654142857,0.33523809524285714,0.35305992315714285,0.4190750352285714,0.28977286788571427
0.4280659053714286,0.5497016796571429,0.47583344555714285,0.40421941622857144,0.4948130034,0.3746440997857143,0.47506324835714286,0.5026625882714286,0.4478787903285714,0.4389874111571429,0.44355179682857143,0.3281226962571429,0.5026625882714286,0.34243386242857143,0.43955260061428575,0.4492175142428572,0.5138593154714286
0.6120298536857144,0.4034116552714285,0.5560542466285715,0.5160660512857144,0.6169455853428572,0.4651438005142858,0.5698176373714287,0.6113309125571428,0.4415375136142857,0.4641328233,0.43800036091428574,0.5764714848428572,0.6123895112285714,0.3857664010285714,0.4885635368571429,0.4227476789,0.6031360967285714
0.4965419196714286,0.6148051104857143,0.4246616957714286,0.48089594321428575,0.5612086577714286,0.28326787288571426,0.5637763508714285,0.5813705424000001,0.24583953650000007,0.2513888265857143,0.45769435348571424,0.4573622103428572,0.5851570084857143,0.34137566137142855,0.46466645390000005,0.28034914628571433,0.6053484216857143
